who,voting-status,party,sir-state,shared?,content-bias,xcor,ycor
444,will-vote,A,infected,false,partyA,6.019962949935518,9.019869549529876
194,will-vote,B,infected,false,partyB,-12.45119309234294,-5.958010817080369
153,will-vote,A,infected,true,partyA,9.077679383581394,-7.1367076579353
417,will-vote,A,infected,false,partyA,12.679159536419277,-3.825762715573278
358,will-vote,A,infected,false,partyA,6.058300895968188,-10.468502898418988
311,will-vote,A,infected,false,partyB,9.599207195027127,13.780579205043047
55,will-vote,B,infected,true,partyB,3.0865662115927357,11.226020680524964
4,will-vote,B,infected,true,partyB,-15.230034891871368,-13.29227816058561
177,will-vote,A,infected,false,partyA,-8.439917463576727,10.016745509609795
203,will-vote,B,infected,true,partyB,-12.843684878435859,-7.047082174263256
356,will-vote,B,infected,false,partyB,-4.108041884268472,-13.182347006042917
475,will-vote,B,infected,false,partyA,-9.50385938211506,6.304307487562163
145,will-vote,A,susceptible,false,partyA,9.649967542400898,-1.6559519276978687
411,will-vote,A,infected,false,partyA,10.614444445568758,-11.781905738614434
219,will-vote,A,infected,true,partyA,-2.8863495418036713,-3.9664165008942724
319,will-vote,B,infected,true,partyB,-12.32345618845524,-13.423166099907952
131,will-vote,A,infected,false,partyA,-1.1129388873250363,-4.070566780274357
471,will-vote,B,infected,true,partyB,5.482653620497437,0.7002754020043724
88,will-vote,B,infected,true,partyA,-14.92397907916444,8.276562372230647
479,will-vote,A,infected,false,partyA,-11.68731231676357,2.009287900889298
164,will-vote,A,infected,true,partyB,-0.5629188532731604,13.78854611034464
235,will-vote,B,infected,true,partyB,-2.49759031297652,-6.9771293795740235
424,will-vote,A,infected,false,partyA,-2.4263013157786713,-10.459209361727414
293,will-vote,B,infected,true,partyA,0.24654886010366894,-12.158176195816292
211,will-vote,A,infected,false,partyB,8.996239638644052,14.363090405713479
113,will-vote,B,infected,true,partyA,-16.464836450025714,-6.444244971947189
213,will-vote,A,infected,false,partyA,-3.784415505842505,1.5660512850870774
12,will-vote,B,infected,false,partyB,1.3723909326253185,2.0270670066443763
271,will-vote,A,infected,false,partyA,2.3929233445453306,5.012709254490922
74,will-vote,B,infected,false,neutral,-9.051453663948315,16.125166995067076
366,will-vote,B,infected,true,partyB,-3.616912526685878,-13.498111647532777
155,will-vote,A,infected,true,partyA,-13.919151606370376,9.007467332234864
407,will-vote,B,infected,true,partyA,11.27010606045333,-8.675690532432856
81,will-vote,B,infected,true,partyB,-8.045122316165044,-5.611421595926089
89,will-vote,B,infected,true,partyB,2.7683102574768874,-0.08633185627079243
151,will-vote,B,infected,false,partyB,-12.737070654261323,-3.312772076738895
57,will-vote,A,susceptible,false,partyA,-10.554178821760669,-0.10456758352079731
122,will-vote,B,infected,true,partyB,5.613047489910507,5.912462991107272
231,will-vote,B,infected,true,partyA,-11.705041591470367,6.870898123933596
468,will-vote,B,infected,true,partyB,10.045088033408181,6.0952892454697185
434,will-vote,B,infected,false,partyB,-4.6493212234718655,-16.30143463663676
353,will-vote,B,infected,true,partyB,-5.711260056325877,-14.384827055985053
184,will-vote,B,infected,true,partyA,-15.099064659162085,13.92311535161333
22,will-vote,B,infected,false,partyB,11.840130771091392,5.638831894308009
97,will-vote,B,infected,true,partyB,-8.226090517567958,13.799218732657174
287,will-vote,B,infected,false,neutral,-6.264669188405934,-6.273815364746369
53,will-vote,B,infected,true,partyB,16.148254730639586,1.6117961834091368
243,will-vote,B,infected,true,partyB,-8.361777815298625,-12.228574480200564
492,will-vote,A,infected,true,partyB,15.753895984252537,0.25278190902247744
432,will-vote,B,infected,false,partyB,4.019571740794696,5.287768664252635
382,will-vote,A,infected,true,partyB,-11.859176016714578,-13.227267043099356
130,will-vote,B,infected,false,partyB,-2.5385059459099555,12.177937839962492
174,will-vote,A,infected,false,partyB,8.207310491393102,12.857256358957969
298,will-vote,B,infected,true,partyB,4.7674763000654785,4.663036240881262
315,will-vote,B,susceptible,false,partyB,-7.741917743213104,-10.655640698812155
161,will-vote,A,infected,true,partyA,-6.124088659845011,6.760307646481081
250,will-vote,A,infected,true,partyA,6.702162963300804,-4.168521736893009
37,will-vote,B,infected,false,partyA,-11.193567476617844,2.0788435199540665
477,will-vote,B,infected,false,partyA,6.229230999493009,10.362118796413199
170,will-vote,B,infected,false,partyB,-16.275366709791392,-1.9738221016649362
15,will-vote,B,infected,true,partyB,11.418015647457242,10.498689620621189
38,will-vote,B,infected,true,partyB,-15.093887159930302,-16.322601679243757
