id,breed,ideology,p_A,p_B,p_N,engagement,susceptibility,voting_intention,xcor,ycor
393,youths,B,0,0.518505463730555,0.481494536269445,6,0.1379248151436005,true,-1.787603842814999,1.6284517681051476
71,youths,None,0.044263473394274964,0.16112129913535117,0.7946152274703739,6,0.1,false,-10.665428829862751,-16.598584842245433
475,youths,None,0,0,1,3,0.1,false,-11.6731862453003,-19.75487206471146
132,youths,B,0.1759140927362659,0.654479730969089,0.1696061762946452,1,0.1,true,-13.532422538091655,-5.75545955279085
266,youths,None,0.02356907214416604,0.10347078724582273,0.8729601406100113,3,0.1,false,-7.820562101959736,-14.66584290060029
421,youths,None,0,0,1,1,0.1,false,14.226366612038987,1.4696618524862117
268,youths,B,0.33587501251204416,0.4099185852536499,0.25420640223430596,3,0.1,true,12.722507309476455,14.90877745116913
587,nonyouths,A,0.6837331760048698,0.16686156292100293,0.14940526107412727,0,0.1,false,-18.078299231628794,-10.177594173886956
197,youths,None,0.024373798956208587,0.19347520476906713,0.7821509962747244,3,0.1,false,-12.264457352390242,9.62978293767242
292,youths,B,0.20428291462810536,0.7294588817030424,0.06625820366885231,6,0.2202874898485065,true,10.976344303565885,-18.132291574569805
301,youths,None,0,0.4431162022094796,0.5568837977905204,2,0.20116844123570943,false,-5.413342011426181,-12.571699959783395
394,youths,None,0.13534298636587508,0,0.864657013634125,6,0.1,false,18.016668181319332,10.15275229767369
219,youths,A,0.7295390705071358,0,0.2704609294928641,7,0.1,false,18.6970679852774,-2.549627657114371
79,youths,None,0,0.3260706817439278,0.6739293182560723,6,0.16742078623604117,false,-16.117933798400497,-8.069317691415867
433,youths,None,0.3663276503266212,0,0.6336723496733788,1,0.1,false,-5.978261166532054,6.865518579466794
330,youths,None,0.01589308189149854,0,0.9841069181085015,7,0.10357322418057961,false,-9.181879738333336,13.904337984104913
530,nonyouths,None,0.36747698631363224,0,0.6325230136863678,1,0.1,false,2.0010625685607906,-3.2863593516967917
442,youths,None,0.3725371527600071,0.17096174779900677,0.45650109944098616,1,0.1,false,-3.2596254138805847,4.835441362010602
3,youths,B,0.09742409441965855,0.4634755488935842,0.4391003566867573,10,0.1,true,16.09121765253831,3.888337256770207
536,nonyouths,B,0.12236388301700485,0.563365230068366,0.3142708869146292,2,0.1,true,18.836562634304045,7.1312157123477355
